Store ID,SKU,Week Ending,Demand
SEPH-NYC-001,BB-SCS-036,2025-11-02,45
SEPH-NYC-001,BB-SCS-036,2025-11-09,31
SEPH-NYC-001,BB-SCS-036,2025-11-16,38
SEPH-NYC-001,BB-SCS-036,2025-11-23,48
SEPH-NYC-001,BB-SCS-036,2025-12-07,52
SEPH-NYC-001,BB-SCS-036,2025-12-14,42
SEPH-NYC-001,BB-SCS-036,2025-12-21,54
SEPH-NYC-001,BB-SCS-036,2025-12-28,41
SEPH-NYC-001,BB-SCS-036,2026-01-04,30
SEPH-NYC-001,BB-SCS-036,2026-01-11,39
SEPH-NYC-001,BB-SCS-036,2026-01-18,28
SEPH-NYC-001,BB-SCS-036,2026-01-25,36
SEPH-NYC-001,TF-BO-017,2025-11-02,12
SEPH-NYC-001,TF-BO-017,2025-11-09,15
SEPH-NYC-001,TF-BO-017,2025-11-16,16
SEPH-NYC-001,TF-BO-017,2025-11-23,14
SEPH-NYC-001,TF-BO-017,2025-12-07,16
SEPH-NYC-001,TF-BO-017,2025-12-14,14
SEPH-NYC-001,TF-BO-017,2025-12-21,19
SEPH-NYC-001,TF-BO-017,2025-12-28,15
SEPH-NYC-001,TF-BO-017,2026-01-04,10
SEPH-NYC-001,TF-BO-017,2026-01-11,13
SEPH-NYC-001,TF-BO-017,2026-01-18,13
SEPH-NYC-001,TF-BO-017,2026-01-25,14
SEPH-NYC-001,MAC-RW-005,2025-11-02,59
SEPH-NYC-001,MAC-RW-005,2025-11-09,61
SEPH-NYC-001,MAC-RW-005,2025-11-16,62
SEPH-NYC-001,MAC-RW-005,2025-11-23,74
SEPH-NYC-001,MAC-RW-005,2025-12-07,89
SEPH-NYC-001,MAC-RW-005,2025-12-14,82
SEPH-NYC-001,MAC-RW-005,2025-12-21,87
SEPH-NYC-001,MAC-RW-005,2025-12-28,66
SEPH-NYC-001,MAC-RW-005,2026-01-04,57
SEPH-NYC-001,MAC-RW-005,2026-01-11,57
SEPH-NYC-001,MAC-RW-005,2026-01-18,58
SEPH-NYC-001,MAC-RW-005,2026-01-25,43
SEPH-NYC-001,BB-CB-022,2025-11-02,76
SEPH-NYC-001,BB-CB-022,2025-11-09,58
SEPH-NYC-001,BB-CB-022,2025-11-16,73
SEPH-NYC-001,BB-CB-022,2025-11-23,79
SEPH-NYC-001,BB-CB-022,2025-12-07,73
SEPH-NYC-001,BB-CB-022,2025-12-14,82
SEPH-NYC-001,BB-CB-022,2025-12-21,75
SEPH-NYC-001,BB-CB-022,2025-12-28,81
SEPH-NYC-001,BB-CB-022,2026-01-04,64
SEPH-NYC-001,BB-CB-022,2026-01-11,67
SEPH-NYC-001,BB-CB-022,2026-01-18,56
SEPH-NYC-001,BB-CB-022,2026-01-25,61
SEPH-NYC-001,OR-CBFW-027,2025-11-02,40
SEPH-NYC-001,OR-CBFW-027,2025-11-09,41
SEPH-NYC-001,OR-CBFW-027,2025-11-16,45
SEPH-NYC-001,OR-CBFW-027,2025-11-23,48
SEPH-NYC-001,OR-CBFW-027,2025-12-07,50
SEPH-NYC-001,OR-CBFW-027,2025-12-14,54
SEPH-NYC-001,OR-CBFW-027,2025-12-21,74
SEPH-NYC-001,OR-CBFW-027,2025-12-28,69
SEPH-NYC-001,OR-CBFW-027,2026-01-04,37
SEPH-NYC-001,OR-CBFW-027,2026-01-11,56
SEPH-NYC-001,OR-CBFW-027,2026-01-18,43
SEPH-NYC-001,OR-CBFW-027,2026-01-25,41
SEPH-NYC-001,EL-PCE-012,2025-11-02,65
SEPH-NYC-001,EL-PCE-012,2025-11-09,59
SEPH-NYC-001,EL-PCE-012,2025-11-16,76
SEPH-NYC-001,EL-PCE-012,2025-11-23,78
SEPH-NYC-001,EL-PCE-012,2025-12-07,93
SEPH-NYC-001,EL-PCE-012,2025-12-14,84
SEPH-NYC-001,EL-PCE-012,2025-12-21,69
SEPH-NYC-001,EL-PCE-012,2025-12-28,80
SEPH-NYC-001,EL-PCE-012,2026-01-04,48
SEPH-NYC-001,EL-PCE-012,2026-01-11,60
SEPH-NYC-001,EL-PCE-012,2026-01-18,49
SEPH-NYC-001,EL-PCE-012,2026-01-25,46
SEPH-NYC-001,BB-LWGE-010,2025-11-02,22
SEPH-NYC-001,BB-LWGE-010,2025-11-09,20
SEPH-NYC-001,BB-LWGE-010,2025-11-16,24
SEPH-NYC-001,BB-LWGE-010,2025-11-23,33
SEPH-NYC-001,BB-LWGE-010,2025-12-07,27
SEPH-NYC-001,BB-LWGE-010,2025-12-14,30
SEPH-NYC-001,BB-LWGE-010,2025-12-21,30
SEPH-NYC-001,BB-LWGE-010,2025-12-28,37
SEPH-NYC-001,BB-LWGE-010,2026-01-04,22
SEPH-NYC-001,BB-LWGE-010,2026-01-11,24
SEPH-NYC-001,BB-LWGE-010,2026-01-18,28
SEPH-NYC-001,BB-LWGE-010,2026-01-25,27
SEPH-NYC-001,CL-TDO-011,2025-11-02,50
SEPH-NYC-001,CL-TDO-011,2025-11-09,50
SEPH-NYC-001,CL-TDO-011,2025-11-16,41
SEPH-NYC-001,CL-TDO-011,2025-11-23,35
SEPH-NYC-001,CL-TDO-011,2025-12-07,42
SEPH-NYC-001,CL-TDO-011,2025-12-14,53
SEPH-NYC-001,CL-TDO-011,2025-12-21,62
